cycle,phase,step,t_ms,pause_no,servo6_q_target,servo6_q_measured,servo6_q_delta,servo7_q_target,servo7_q_measured,servo7_q_delta,servo8_q_target,servo8_q_measured,servo8_q_delta,servo9_q_target,servo9_q_measured,servo9_q_delta,middle_det_bit,index_det_bit
0,INTERACTIVE,-1,12106.7,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49295,-0.00295,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,12324.5,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.48947,0.00053,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,12543.7,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.4913,-0.0013,-1,-1
0,INTERACTIVE,-1,12758.5,-1,0.49,0.48866,0.00134,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,12977.6,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,13192.4,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,13410.9,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49295,-0.00295,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,13629.9,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,-1,-1
0,INTERACTIVE,-1,13847.0,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49295,-0.00295,0.49,0.4913,-0.0013,-1,-1
0,HOLD0,0,29.6,-1,0.49,0.49215,-0.00215,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,1,46.8,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,2,67.5,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,3,88.9,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,4,110.2,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48936,0.00064,0,0
0,HOLD0,5,129.7,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,6,150.4,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49295,-0.00295,0.49,0.48743,0.00257,0,0
0,HOLD0,7,171.7,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.48947,0.00053,0.49,0.48743,0.00257,0,0
0,HOLD0,8,193.4,-1,0.49,0.4904,-0.0004,0.49,0.50822,-0.01822,0.49,0.48947,0.00053,0.49,0.48743,0.00257,0,0
0,HOLD0,9,213.7,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,10,234.6,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,11,259.4,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,12,275.9,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,13,296.5,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,14,317.5,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
